company,segment,town,website,email,phone,priority,source,notes,status
Clip n Climb Tonbridge,jump_climb,Tonbridge,https://www.clipnclimb.co.uk/,info@clipnclimbtonbridge.co.uk,,2,network contact page,Independent franchisee.,new
Clip n Climb Crawley,jump_climb,Crawley,https://www.clipnclimb.co.uk/,info.crawley@clipnclimb.co.uk,,2,network contact page,Independent franchisee.,new
Clip n Climb Croydon,jump_climb,Croydon,https://www.clipnclimb.co.uk/,info.croydon@clipnclimb.co.uk,,2,network contact page,Independent franchisee.,new
Clip n Climb Gloucester,jump_climb,Gloucester,https://www.clipnclimb.co.uk/,info.gloucester@clipnclimb.co.uk,,2,network contact page,Independent franchisee.,new
Clip n Climb Halifax,jump_climb,Halifax,https://www.clipnclimb.co.uk/,info.halifax@clipnclimb.co.uk,,2,network contact page,Independent franchisee.,new
Clip n Climb Northampton,jump_climb,Northampton,https://www.clipnclimb.co.uk/,info.northampton@clipnclimb.co.uk,,2,network contact page,Independent franchisee.,new
Clip n Climb The O2,jump_climb,London,https://www.clipnclimb.co.uk/,info.theo2@clipnclimb.co.uk,,3,network contact page,"High-footfall site — may already have a park OS. Lower priority.",new
Clip n Climb Wandsworth,jump_climb,London,https://www.clipnclimb.co.uk/,info.wandsworth@clipnclimb.co.uk,,2,network contact page,Independent franchisee.,new
Jump Street,jump_climb,UK,https://www.clipnclimb.co.uk/,INFO@JUMPSTREET.CO.UK,,2,listed on Clip n Climb contact map,"Trampoline / jump adjacent. Confirm still independent before send.",new
Out of Bounds,jump_climb,UK,https://www.clipnclimb.co.uk/,info@out-of-bounds.co.uk,,2,listed on Clip n Climb contact map,Climbing / activity. Confirm party volume.,new
Summit Up Climbing,jump_climb,UK,https://www.clipnclimb.co.uk/,info@summitupclimbing.com,,2,listed on Clip n Climb contact map,Climbing centre. Parent waiver + party overlap.,new
Bloc Climbing,jump_climb,UK,https://www.clipnclimb.co.uk/,info@blocclimbing.co.uk,,3,listed on Clip n Climb contact map,Likely more climbing-gym than kids party — optional.,new
Wonder World Kirkcaldy,party_soft_play,Kirkcaldy,https://www.wonderworldsoftplay.co.uk/kirkcaldy/parties/,customerservice@wonderworldgroup.co.uk,01592 802343,3,party page,"Group customer-service inbox — more chain-like. Lower priority than owner-ops.",new
